BSc(ActuarSc) Examination Timetable for the First Semester of 2025-2026
(As at Oct 17, 2025)
Date 	Time 		Course Code 	Description 	Venue
Dec 6 SAT 	9:30 am - 11:00 am 		BIOL1110 	From molecules to cells 	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells 	Rm 9 Library Ext.
Dec 6 SAT 	2:30 pm - 4:30 pm 		ACCT1101 	Introduction to financial accounting 	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting 	CPD-LG.60, Centennial Campus
				Introduction to financial accounting 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting 	Loke Yew Hall
				Introduction to financial accounting 	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting 	Rm 103 Main Bldg.
				Introduction to financial accounting 	Rm 167 Main Bldg.
				Introduction to financial accounting 	Rm 237 Main Bldg.
				Introduction to financial accounting 	Rm 6 Library Ext.
				Introduction to financial accounting 	Rm 7 Library Ext.
				Introduction to financial accounting 	Rm 8 Library Ext.
				Introduction to financial accounting 	Rm 9 Library Ext.
Dec 6 SAT 	2:30 pm - 4:30 pm 		COMP3354 	Statistical Learning 	Rm 4 Library Ext.
Dec 6 SAT 	6:30 pm - 8:30 pm 		FINA2320 	Investments and portfolio analysis 	Loke Yew Hall
				Investments and portfolio analysis 	Rm 103 Main Bldg.
				Investments and portfolio analysis 	Rm 167 Main Bldg.
				Investments and portfolio analysis 	Rm 256 Main Bldg.
Dec 8 MON 	9:30 am - 12:30 pm 		STAT3901 	Life contingencies I 	Rm 217 Main Bldg.
				Life contingencies I 	Rm 218 Main Bldg.
Dec 8 MON 	2:30 pm - 4:30 pm 		ACCT3107 	Hong Kong taxation 	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 8 MON 	2:30 pm - 4:00 pm 		ECON1210 	Introductory microeconomics 	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics 	CPD-LG.60, Centennial Campus
				Introductory microeconomics 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics 	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics 	Rm 103 Main Bldg.
				Introductory microeconomics 	Rm 167 Main Bldg.
				Introductory microeconomics 	Rm 2 Library Ext.
				Introductory microeconomics 	Rm 201 Main Bldg.
				Introductory microeconomics 	Rm 237 Main Bldg.
