BASc(SDS) Examination                                                            Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 11:00 am		BIOL1110	From molecules to cells	Multi-purpose Zone, Level 3, Main Library
				From molecules to cells	Rm 9 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 8 MON	2:30 pm - 4:00 pm		ECON1210	Introductory microeconomics	CPD-LG.07-10, Centennial Campus
				Introductory microeconomics	CPD-LG.60, Centennial Campus
				Introductory microeconomics	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introductory microeconomics	Multi-purpose Zone, Level 3, Main Library
				Introductory microeconomics	Rm 103 Main Bldg.
				Introductory microeconomics	Rm 167 Main Bldg.
				Introductory microeconomics	Rm 2 Library Ext.
				Introductory microeconomics	Rm 201 Main Bldg.
				Introductory microeconomics	Rm 237 Main Bldg.
				Introductory microeconomics	Rm 256 Main Bldg.
				Introductory microeconomics	Rm 3 Library Ext.
				Introductory microeconomics	Rm 4 Library Ext.
				Introductory microeconomics	Rm 5 Library Ext.
Dec 9 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 218 Main Bldg.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		BSIM3017	Database systems	Rm 408-410, Meng Wah Complex
